aid,nombre_a,direccion_a,telefono_a,rid
0,Viajes Cosmópolis Cero Limites,Avenida Sonora 556 Interior 831,+56965034554,11
1,Paso De Viaje Triport,Calle Chiapas 140 Interior 013,+56989651308,14
2,Vuelta Total Lánzate Viajes,"Eje vial Tlaxcala 487 Edif. 075 , Depto. 837",+56955249761,3
3,Paraíso Global Destino Pasaporte,"Cerrada Baja California Sur 915 Edif. 376 , Depto. 284",+56911293190,4
4,De vuelta al sol La Nueva Ruta,Callejón Afganistán 993 655,+56976163184,9
5,Viaje Rail Travesía Viajera,Cerrada Sur Rivero 851 Interior 208,+56918712021,8
6,Vive Ahora Exploramos Agencia de Viajes,Cerrada Nuevo León 513 897,+56909240031,15
7,Órbita Viajera Ruta 86,Calle Norte Tello 176 Interior 218,+56951519804,15
8,Viaja para Contar Puesta de sol,Prolongación Bahrein 382 Interior 255,+56932702159,9
9,De Viaje en Viaje Cero Limites,Prolongación Distrito Federal 678 Interior 830,+56920748724,7
10,Órbita Viajera Universo Turístico,Retorno República Popular Democrática de Corea 478 045,+56913103657,1
11,Neo Viajes Tourx,Boulevard Ceja 000 821,+56987979687,9
12,Travelmaniaco Tiempo de Viaje,"Callejón Baja California 859 Edif. 292 , Depto. 881",+56930853748,14
13,Planifica Tours Exploramos Agencia de Viajes,Peatonal Oaxaca 110 Interior 044,+56985471526,14
14,Travesía Viajera Dulce Viaje,Calle Norte Negrón 006 Interior 157,+56926261281,7
15,Viajes Cosmópolis D-Relax,Avenida Huerta 818 670,+56918939911,15
15,Viajes Cosmópolis D-Relax,Avenida Huerta 818 670,+56918939911,14
16,Aires Travel Tu Rumbo 360,"Privada Treviño 391 Edif. 463 , Depto. 090",+56967224614,5
16,Aires Travel Tu Rumbo 360,"Privada Treviño 391 Edif. 463 , Depto. 090",+56967224614,15
17,Turisfront (Turismo sin fronteras) Supernova,Callejón Sur Benavides 821 Interior 721,+56936755380,4
18,Viaja para Contar Almeda Tours,Retorno México 044 075,+56982390812,7
19,Alaspro Nuevo Horizonte,Ampliación Jalisco 179 Interior 427,+56969889504,13
20,De Viaje en Viaje Travesía Express,"Periférico República Democrática del Congo 061 Edif. 975 , Depto. 885",+56912858311,5
21,Sol De Estrella Vive Ahora,Boulevard Norte Viera 383 Interior 516,+56988438221,2
22,Ruta 100% Full Travesia,Callejón Norte de la Crúz 737 Interior 427,+56990702247,11
